OTU	Size	Kingdom	Phylum	Class	Order	Family	Genus	color	phylum_color
Otu00001	10081442	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	#191970	lightcyan
Otu00002	6463135	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	hotpink	lightpink
Otu00003	5658241	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00004	3886338	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacteriaceae_unclassified	#EEEE00	lightgoldenyellow
Otu00005	2283918	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	#0A0AA6	lightcyan
Otu00006	1267622	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00007	958855	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	#0000CD	lightcyan
Otu00008	947264	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00009	870683	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00010	815470	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00011	651488	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	hotpink	lightpink
Otu00012	569103	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella	#7AD883	darkseagreen1
Otu00013	559676	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcaceae_unclassified	#115598	lightcyan
Otu00014	531799	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	#0000FC	lightcyan
Otu00015	512682	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	#197CDC	lightcyan
Otu00016	490316	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00017	364639	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	#00C100	darkseagreen1
Otu00018	334116	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_unclassified	#1584DC	lightcyan
Otu00019	332854	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	#D2B48C	seashell
Otu00020	328370	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00021	314838	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00022	314288	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00023	306750	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00024	291297	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	#197CDC	lightcyan
Otu00025	287237	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	#0A0AA6	lightcyan
Otu00026	285829	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	#0090C1	lightcyan
Otu00027	277063	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	#2FD82F	darkseagreen1
Otu00028	269247	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00029	263378	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00030	257167	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	#06BDFC	lightcyan
Otu00031	255041	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_	Clostridium_sensu_stricto	#036C98	lightcyan
Otu00032	245208	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_unclassified	#1584DC	lightcyan
Otu00033	241736	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00034	232210	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	#191970	lightcyan
Otu00035	231132	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00036	230428	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	#00C100	darkseagreen1
Otu00037	212438	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	#2FD82F	darkseagreen1
Otu00038	206175	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Hungatella	#72AFD4	lightcyan
Otu00039	201093	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacteriaceae_unclassified	#EEEE00	lightgoldenyellow
Otu00040	180474	Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma	black	grey50
Otu00041	179887	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	#191970	lightcyan
Otu00042	178737	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium_XVIII	#82C6E5	lightcyan
Otu00043	174982	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00044	171672	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00045	143396	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00046	142966	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	#2FD82F	darkseagreen1
Otu00047	131838	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	#36648B	lightcyan
Otu00048	128950	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	#0000FC	lightcyan
Otu00049	121648	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	lightcyan	lightcyan
Otu00050	121482	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	#0829C1	lightcyan
Otu00051	119978	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	hotpink	lightpink
Otu00052	117861	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00053	112731	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00054	111819	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	#0A0AA6	lightcyan
Otu00055	109047	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	#5095CF	lightcyan
Otu00056	107991	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	#00C100	darkseagreen1
Otu00057	102151	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	#65A2C3	lightcyan
Otu00058	98599	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella	#7AD883	darkseagreen1
Otu00059	97407	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00060	94387	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00061	87911	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	#DDC106	lightgoldenyellow
Otu00062	86355	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	#D5AB09	lightgoldenyellow
Otu00063	82962	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	#D5AB09	lightgoldenyellow
Otu00064	82939	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00065	82891	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00066	79647	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	#00C100	darkseagreen1
Otu00067	78459	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	#0000DE	lightcyan
Otu00068	76593	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_unclassified	#1584DC	lightcyan
Otu00069	75493	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00070	75455	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00071	75019	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	#00C100	darkseagreen1
Otu00072	71962	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter	#4757C1	lightcyan
Otu00073	68738	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00074	65029	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00075	65028	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Enterorhabdus	#A52A2A	seashell
Otu00076	64220	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00077	62435	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	#4672F8	lightcyan
Otu00078	62422	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00079	62095	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	#0000FC	lightcyan
Otu00080	61413	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00081	60498	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	#6D2CB9	lightcyan
Otu00082	59903	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00083	58985	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eisenbergiella	#4D3992	lightcyan
Otu00084	54800	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	Bacteroidales_unclassified	#6FE66F	darkseagreen1
Otu00085	53811	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_	Bacillus	#C361C9	lightcyan
Otu00086	51666	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	#0000FC	lightcyan
Otu00087	51028	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00088	50063	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	#916A91	lightcyan
Otu00089	50040	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00090	49904	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	#65A2C3	lightcyan
Otu00091	48096	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	#008B8B	black
Otu00092	46306	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	#58A2EA	lightcyan
Otu00093	45936	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	#9439CB	lightcyan
Otu00094	45705	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	#D69DD6	lightcyan
Otu00095	45264	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	#AD67AB	lightcyan
Otu00096	44621	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	#197CDC	lightcyan
Otu00097	43925	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00098	43631	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	#F3B1E8	lightcyan
Otu00099	43595	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	#197CDC	lightcyan
Otu00100	43474	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00101	43472	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	#191970	lightcyan
Otu00102	42748	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	#197CDC	lightcyan
Otu00103	42739	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	#0000FC	lightcyan
Otu00104	42650	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pseudoflavonifractor	#FFB5C0	lightcyan
Otu00105	41109	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	#E1A4B0	lightcyan
Otu00106	40260	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV	#355CA6	lightcyan
Otu00107	39617	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00108	39530	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	Bacteroidales_unclassified	#6FE66F	darkseagreen1
Otu00109	39294	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	#0A0AA6	lightcyan
Otu00110	38653	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00111	37976	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00112	37112	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00113	36622	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00114	36247	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00115	36111	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	#D2B48C	seashell
Otu00116	35725	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella	#BB6F5B	seashell
Otu00117	34890	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00118	34880	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella	#BB6F5B	seashell
Otu00119	34338	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00120	34056	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00121	33769	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	#0829C1	lightcyan
Otu00122	33347	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_unclassified	darkseagreen1	darkseagreen1
Otu00123	33135	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_	Clostridium_sensu_stricto	#036C98	lightcyan
Otu00124	31899	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	#0829C1	lightcyan
Otu00125	31599	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00126	30688	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified	Clostridia_unclassified	Clostridia_unclassified	lightcyan	lightcyan
Otu00127	29844	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00128	29500	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	#4672F8	lightcyan
Otu00129	29181	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	#58A2EA	lightcyan
Otu00130	29150	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium_XVIII	#82C6E5	lightcyan
Otu00131	28807	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00132	28617	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV	#355CA6	lightcyan
Otu00133	28468	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	#008B8B	black
Otu00134	28426	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	#0829C1	lightcyan
Otu00135	28132	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	#0829C1	lightcyan
Otu00136	28010	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00137	27828	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	#4672F8	lightcyan
Otu00138	27147	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	#D59C11	lightgoldenyellow
Otu00139	26167	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	#008B8B	black
Otu00140	25990	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00141	25623	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	#0829C1	lightcyan
Otu00142	25614	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	#0829C1	lightcyan
Otu00143	25509	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00144	25128	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	#C86686	lightcyan
Otu00145	25018	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	#D8939D	lightcyan
Otu00146	24987	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00147	24753	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00148	24647	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetatifactor	#D598AF	lightcyan
Otu00149	24393	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	#0000DE	lightcyan
Otu00150	24247	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	#197CDC	lightcyan
Otu00151	24167	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00152	24135	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	#8E4B60	lightcyan
Otu00153	24042	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00154	24032	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00155	23415	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00156	23396	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00157	22875	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella	#8B0000	seashell
Otu00158	22802	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_unclassified	#1584DC	lightcyan
Otu00159	22707	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00160	22492	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00161	22408	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00162	21873	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00163	21644	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	#0829C1	lightcyan
Otu00164	21611	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	#0000FC	lightcyan
Otu00165	21596	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00166	21449	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	#0000FC	lightcyan
Otu00167	21443	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	#0829C1	lightcyan
Otu00168	21394	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	#0000DE	lightcyan
Otu00169	21303	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	#0829C1	lightcyan
Otu00170	21151	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00171	21124	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00172	20998	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	darkseagreen1	darkseagreen1
Otu00173	20617	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lactonifactor	#AD2694	lightcyan
Otu00174	20460	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	#58A2EA	lightcyan
Otu00175	20216	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00176	20016	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	#197CDC	lightcyan
Otu00177	19965	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Gordonibacter	seashell	seashell
Otu00178	19910	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00179	19514	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00180	19234	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu00181	19107	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	#4EAC6A	darkseagreen1
Otu00182	19088	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	#197CDC	lightcyan
Otu00183	18479	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	#0A0AA6	lightcyan
Otu00184	18051	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00185	17995	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	#B57381	lightcyan
Otu00186	17930	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	#197CDC	lightcyan
Otu00187	17927	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	#006400	darkseagreen1
Otu00188	17853	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	#4672F8	lightcyan
Otu00189	17827	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00190	17625	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu00191	17540	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Murimonas	#8B0279	lightcyan
Otu00192	17531	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	#0829C1	lightcyan
Otu00193	17282	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	#D2B48C	seashell
Otu00194	17141	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVb	#F6A8B2	lightcyan
