OTU	Size	Kingdom	Phylum	Class	Order	Family	Genus	color	phylum_color
Otu10521	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu10522	2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu10523	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu10524	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu10525	2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu10526	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetatifactor	#D598AF	lightcyan
Otu10527	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu10528	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu10529	2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu10530	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu10531	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu10532	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVb	#F6A8B2	lightcyan
Otu10533	2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	#64C276	darkseagreen1
Otu10534	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu10535	2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu10536	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu10537	2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu10538	2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu10539	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	#65A2C3	lightcyan
Otu10540	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetatifactor	#D598AF	lightcyan
Otu10541	2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu10542	2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu10543	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu10544	2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu10545	2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	#009200	darkseagreen1
Otu10546	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
Otu10547	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	#0000CD	lightcyan
