feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Otu00406	group	hFMT	0.617226552141607	0.159674769245078	98	18	0.000203928502430093	0.000519149215965568
Otu00224	group	mFMT_other	-1.58094806794507	0.409666558599177	98	21	0.000208598924324556	0.00052936896833307
Otu00403	group	hFMT	0.670533002349503	0.17446565673561	98	15	0.000220509814300205	0.000557841442445973
Otu00048	group	noFMT	3.1406359569586	0.821906291688883	98	41	0.000238389602163577	0.000601188777956272
Otu00227	group	mFMT_other	-1.63807347241108	0.428791053698816	98	23	0.000239182443924532	0.000601309134726159
Otu00212	group	mFMT_other	-0.994235606191725	0.260683610319686	98	11	0.000244486361578511	0.000612734452775958
Otu00506	group	hFMT	0.712898016841361	0.187044652783874	98	16	0.000246702201871299	0.000616373612724886
Otu00153	group	mFMT_other	-1.91462754532893	0.504407260087437	98	30	0.00026051656555434	0.000648879223464051
Otu00117	group	hFMT	1.18633012253903	0.313065747802861	98	16	0.000266402277155972	0.000661497346661137
Otu00061	group	hFMT	2.08869041787046	0.55133872674789	98	14	0.000267331569955134	0.000661768640962556
Otu00382	group	mFMT_other	0.848050138758529	0.224289621276209	98	23	0.00027426762689214	0.000676862308568676
Otu00399	group	mFMT_other	-0.908412835215881	0.240817131932155	98	14	0.0002828379506933	0.000695884836004553
Otu00097	group	noFMT	-2.63807192816708	0.700557967983692	98	33	0.000289340019295141	0.000709718527571973
Otu00302	group	mFMT_other	-0.581134659123688	0.15485462737104	98	20	0.000302586397338204	0.000739961280763425
Otu00365	group	noFMT	-0.896102068984824	0.239494162970434	98	19	0.000314480698645601	0.000766724845338368
Otu00015	group	hFMT	-2.57426122454905	0.689042599780659	98	46	0.000320684330143418	0.0007794947422462
Otu00184	group	mFMT_other	-1.60066559621322	0.429529628119745	98	21	0.000331317511692273	0.000802922618425418
Otu00183	group	noFMT	-1.04894616350231	0.282118532664342	98	19	0.000341116490918436	0.000824194635243046
Otu00063	group	hFMT	-0.862529386462076	0.234091366498066	98	19	0.00038276792045724	0.000919702696650083
Otu00419	group	noFMT	-0.753861931850961	0.204605536127933	98	16	0.000382924542843157	0.000919702696650083
Otu00176	group	hFMT	-0.535697396774257	0.14626652782105	98	15	0.000412837547316542	0.000988605046541394
Otu00282	group	hFMT	-0.974609336101824	0.267084636275024	98	28	0.000432151262100943	0.00103179310211675
Otu00309	group	hFMT	-0.435680113669142	0.119563520294096	98	12	0.000439785207059795	0.00104692230707155
Otu00038	group	hFMT	2.17791912393977	0.599041887115189	98	13	0.000452298243791518	0.00107354318452869
Otu00104	group	noFMT	-2.21282626371641	0.609029679843818	98	70	0.0004558572841136	0.00107881767823952
Otu00385	group	noFMT	-0.644087500065559	0.177341370053272	98	13	0.00045811658984965	0.00108099440938207
Otu00111	group	hFMT	-1.81804947882585	0.502893664103288	98	32	0.000484855326140909	0.00114075291019158
Otu00561	group	mFMT_other	-0.510754166732226	0.142275509923968	98	12	0.00052808022399065	0.00123883936267574
Otu00190	group	hFMT	-1.50031197919921	0.418355521387972	98	34	0.000534672342055968	0.00125066834793961
Otu00271	group	hFMT	-1.22138021452652	0.341576779798829	98	27	0.000553901871928156	0.00129190407701162
Otu00537	group	noFMT	0.7	0.19581952075853	98	14	0.000555751629666128	0.00129248289665869
Otu00037	group	hFMT	2.01455204849921	0.564068056001997	98	16	0.000561854485958104	0.00130292117864422
Otu00069	group	noFMT	-2.4003461680824	0.672412849310517	98	50	0.000565108093574832	0.00130671126508564
Otu00217	group	mFMT_other	1.26306190282022	0.354976918575126	98	31	0.000587527841596794	0.00135467133762461
Otu00408	group	hFMT	0.640164404841295	0.18007815739252	98	13	0.000593913393368334	0.00136549318646224
Otu00027	group	hFMT	0.589344591743611	0.165918561057112	98	12	0.000599736406443515	0.00137496386363613
Otu00203	group	hFMT	1.07014871264811	0.302211721690261	98	13	0.000622113236828813	0.00142222487852932
Otu00599	group	hFMT	-0.65872059528771	0.188506458389852	98	12	0.000726506314678839	0.00165618812414074
Otu00581	group	noFMT	-0.598632954611014	0.171507090704697	98	22	0.000736172568649008	0.00167349651521056
Otu00293	group	noFMT	-1.09062228551054	0.314812868012347	98	13	0.000802353984914986	0.0018188192860292
Otu00155	group	hFMT	-1.35655261007949	0.392162904245091	98	37	0.000816192803028551	0.00184500726062756
Otu00360	group	mFMT_other	-0.707436780353292	0.204813685420544	98	17	0.00083001177495956	0.00187100419662672
Otu00220	group	noFMT	-1.04203693198208	0.302252307056844	98	12	0.000847860896952428	0.00190591572100448
Otu00077	group	hFMT	0.922541391618515	0.269256783554499	98	13	0.000909205453637829	0.00203813555857147
Otu00045	group	hFMT	2.08372007283498	0.612976872645838	98	17	0.000992586432755481	0.00221888435244785
Otu00186	group	mFMT_other	-0.799470942544784	0.235414334853033	98	36	0.00100338895829095	0.00223683671088617
Otu00239	group	noFMT	0.607954905265904	0.179417801390864	98	18	0.00102823106999535	0.00228590213081611
Otu00292	group	hFMT	0.673357563666062	0.199763380268125	98	12	0.00108896635942847	0.00241427431884279
Otu00375	group	hFMT	-1.18041848286201	0.350424887303186	98	17	0.00109688643141771	0.00242517082233998
Otu00362	group	noFMT	-1.01360036447215	0.301240637778416	98	18	0.00111037615109086	0.00244828839871673
Otu00426	group	hFMT	-0.320380778857613	0.096151939486511	98	10	0.00123379517302726	0.00271300464477655
Otu00446	group	hFMT	0.646142758447064	0.19520210451633	98	12	0.0013234691107983	0.0029022814467778
Otu00432	group	noFMT	-0.409090909090909	0.123630176770905	98	14	0.00132826881310859	0.00290491309533504
Otu00351	group	hFMT	-0.981134659123685	0.296721640136112	98	15	0.00133851905048095	0.00291941857767062
Otu00103	group	hFMT	0.605873576141423	0.183497447421196	98	11	0.00135907214869189	0.0029562566684484
Otu00039	group	noFMT	2.42592717267383	0.737302217303806	98	17	0.00140996166694849	0.00304304164689764
Otu00274	group	noFMT	-1.55407524760274	0.472334038103154	98	35	0.00141028200240361	0.00304304164689764
Otu00569	group	hFMT	-0.716960873032711	0.217845434727818	98	10	0.00140606332002397	0.00304304164689764
Otu00584	group	hFMT	-0.344771022760051	0.104866839601554	98	13	0.00142155111392068	0.00305917799715731
Otu00356	group	mFMT_other	-0.975908695792435	0.297728060873392	98	12	0.00146676441691377	0.00314808213949311
