SampleID	CoreID	CoreName	wet_weight	DCA	HDCA_UDCA	CDCA	aMCA	bMCA	CA	HCA	wMCA	GLCA	GCDCA	GDCA	GHDCA	GUDCA	GCA	GHCA	TLCA	TCDCA	TDCA	THDCA_TUDCA	THCA	TaMCA_TbMCA	TCA
cecal_d21_1207_3	B1207-3	S00026718	15.7	0.020568165	0	0.02655716	0.175985325	1.839615846	0.852729798	0.012724584	0.363773187	0	4.77722e-5	0	1.46646e-4	0	4.43653e-4	0	1.06932e-4	0.00119398	0	0.001667173	0	0.658500099	0.379127958
cecal_d42_1223_4	B1223-4	S00026719	13.4	0.961619456	0	0	0.236548808	1.52638136	0.202287914	0	0	0	1.27241e-4	4.84701e-5	2.04241e-4	0	6.39436e-5	0	9.65677e-4	0.001660273	0.001545244	0.001693792	0	1.040180276	0.0056093
cecal_d42_1223_5	B1223-5	S00026720	18.8	0.732699947	0	0	0.201028848	1.27322705	0.069303618	0	0	0	2.57382e-5	7.6223e-5	1.36755e-4	0	8.59052e-5	0	0.001581807	0.00105299	0.001334084	0.001474824	0	0.849965351	0.004318449
cecal_d42_1225_1	B1225-1	S00026721	24.8	0.404805165	0	0	0.20706479	1.319009944	0.054045784	0	0	0	7.59826e-5	0	3.2523e-4	0	1.88377e-4	0	8.88911e-4	0.001949653	9.93404e-4	0.001775787	0	1.04590429	0.0058592
cecal_d42_1225_2	B1225-2	S00026722	24.2	0.530254581	0	0	0.279460108	1.508696884	0.036399343	0	0	0	3.40523e-5	0	6.35901e-5	0	2.33162e-5	0	7.32087e-4	6.19772e-4	6.0866e-4	5.38616e-4	0	0.264967103	0.002419701
cecal_d42_1191_2	B1191-2	S00026723	15.3	1.774098706	0	0	0.509733508	1.795345189	0.942174506	0.011569917	3.701837949	0	3.53038e-4	2.03883e-4	0.001000901	0	0.004005172	0	0.001755228	0.013472299	0.014151158	0.016061864	0	5.595114645	0.016675487
cecal_d42_1270_4	B1270-4	S00026724	11	2.61157076	0	0	0.539798293	2.257512392	0.093733395	0.010834268	5.987721945	0	2.40349e-4	0.001279121	2.53091e-4	0	3.60433e-4	0	0.00359752	0.001987233	0.010871803	0.004597166	0	0.9220374	0.006374644
cecal_d42_1275_1	B1275-1	S00026725	23.7	1.977835693	0	0	1.328661545	2.721384944	0.62823133900000006	0.124528622	5.15167738	0	0	0.005238782	9.7676e-4	0	1.63986e-4	0	0.00600979	0.073948188	0.07256903	0.015252207	0	3.524284686	0.021731865
cecal_d42_1275_2	B1275-2	S00026726	21.8	1.887447307	0	0	0.679155231	2.748269667	0.736253375	0.023578627	3.737209518	0	1.38175e-4	0.00167957	9.97795e-4	0	5.25796e-4	0	0.026299913	0.004839272	0.030336282	0.011908625	0	5.705275634	0.019454151
cecal_d42_1216_1	B1216-1	S00026727	16.6	0.036814618	0	0.06537874	0.07357387	0.503439796	0.550154621	0.009161345	0	NA	1.04779e-5	0	8.25203e-4	0	0	0	0.009624412	0.002720728	0.001270481	0.006437669	0	1.156999277	0.01174997
cecal_d42_1216_2	B1216-2	S00026728	30.3	0.012809588	0	0.125746671	0.09199604	0.518487256	0.884901987	0.005184498	0	0	6.0649e-5	0	2.4567e-4	0	4.05e-4	0	0.002564884	0.003243016	0	0.009308919	0	4.811052321	0.01059563
cecal_d42_1217_2	B1217-2	S00026729	28.9	0.007944103	0	0.062935981	0.084812689	0.830538014	0.700665286	0.009574844	0	0	1.06626e-4	0	1.6875e-5	0	4.22188e-4	0	0.00131117	0.002058379	0	0.001721716	0	1.133785328	0.015049495
cecal_d42_1294_1	B1294-1	S00026730	38.3	0.007782459	0	0.158972761	0.175330784	1.257048715	0.753980548	0.020355332	0.652415351	0	2.16587e-5	0	7.34513e-5	7.44415e-6	5.43864e-4	0	6.75166e-4	0.004991222	0	0.002465471	0	1.620054435	0.012804353
