feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Otu00017	status	colonized	-1.56306908593267	0.259696943735667	98	16	3.20293127071642e-08	9.46800562442547e-08
Otu00362	status	colonized	-1.21828279279944	0.203585189423048	98	18	3.74089309570876e-08	1.09380461168006e-07
Otu00360	status	colonized	-0.792968918996883	0.133886614153697	98	17	4.92122666996907e-08	1.4234515851846e-07
Otu00494	status	colonized	-1.05820624848923	0.179503473525932	98	15	5.56177881616613e-08	1.59161542717946e-07
Otu00170	status	colonized	-2.02169431075405	0.343570825632437	98	19	5.83580882691663e-08	1.65245534151639e-07
Otu00383	status	colonized	-1.21567824159749	0.207220482455667	98	19	6.31459411908271e-08	1.76940189378463e-07
Otu00064	status	colonized	-3.82779808588394	0.656105375493376	98	55	7.29156683538755e-08	2.02209430795799e-07
Otu00056	status	colonized	2.35800967718791	0.408825541656275	98	36	9.77295174229427e-08	2.68257552926241e-07
Otu00398	status	colonized	-0.848614694376709	0.148065183132612	98	16	1.14696214020905e-07	3.11649308804277e-07
Otu00076	status	colonized	-3.06988351397218	0.542104994919677	98	46	1.54798584622541e-07	4.16408192634635e-07
Otu00028	status	colonized	-3.03133460523527	0.538892518625227	98	14	1.82522865499773e-07	4.8612525563801e-07
Otu00032	status	colonized	2.30280553765573	0.410660957504794	98	35	1.9701730263601e-07	5.19584847147909e-07
Otu00164	status	colonized	-1.67174631016911	0.298797134746238	98	34	2.08142284147041e-07	5.43594897432563e-07
Otu00253	status	colonized	-0.92471132758921	0.166392556530762	98	17	2.44920821969984e-07	6.33497126056979e-07
Otu00125	status	colonized	2.030232130956	0.366287210797574	98	32	2.60982421375209e-07	6.62304446697465e-07
Otu00432	status	colonized	-0.459459459459459	0.08288557173629	98	14	2.60344623629496e-07	6.62304446697465e-07
Otu00419	status	colonized	-0.750132094653066	0.136552173937432	98	16	3.22958318855933e-07	8.11923250207906e-07
Otu00029	status	colonized	-2.49134376138093	0.455908673097197	98	16	3.65571045770697e-07	9.02189094608417e-07
Otu00189	status	colonized	-1.68200010725857	0.307687545543298	98	34	3.62415329989814e-07	9.02189094608417e-07
Otu00280	status	colonized	-1.51744733969204	0.279422253028865	98	14	4.22823456532267e-07	1.03399554370163e-06
Otu00361	status	colonized	-1.0877723040533	0.201236581171129	98	16	4.71017448785036e-07	1.1414747182268e-06
Otu00133	status	colonized	-1.4666076675301	0.27436809901559	98	21	6.08435358729862e-07	1.46133135266369e-06
Otu00351	status	colonized	-1.25208416256641	0.235363199284359	98	15	6.78341507150585e-07	1.61481296834962e-06
Otu00618	status	colonized	-0.54513310814709	0.102808625663315	98	14	7.30236207717399e-07	1.72310122698228e-06
Otu00151	status	colonized	-1.19906151839471	0.22749392212214	98	14	8.34890970838061e-07	1.95291887961251e-06
Otu00227	status	colonized	-1.48842266638157	0.284436275990619	98	23	9.79355787780911e-07	2.2710923009747e-06
Otu00008	status	colonized	4.11367495896141	0.7880580331755	98	35	1.03383337944958e-06	2.37693315446101e-06
Otu00219	status	colonized	-0.951516178756645	0.184471635762821	98	15	1.34032343750834e-06	3.05548309059106e-06
Otu00584	status	colonized	-0.421215202722193	0.0826894891331977	98	13	1.75066660939575e-06	3.95738922628116e-06
Otu00399	status	colonized	-0.806804028146379	0.159121218250175	98	14	1.93039088393993e-06	4.32729289816535e-06
Otu00599	status	colonized	-0.747615624264107	0.147731549794906	98	12	2.00980212484868e-06	4.46807249243219e-06
Otu00385	status	colonized	-0.599187162201144	0.118564053820323	98	13	2.06830226210725e-06	4.56043695497417e-06
Otu00251	status	colonized	-0.513513513513514	0.102532136111192	98	13	2.49416390482808e-06	5.45471618210368e-06
Otu00132	status	colonized	1.07926975793566	0.216710243447479	98	31	2.79920453395922e-06	6.07246790028251e-06
Otu00069	status	colonized	-2.2199542060841	0.449188738896944	98	50	3.27195161793124e-06	7.04123988178802e-06
Otu00263	status	colonized	-0.724696788951812	0.147608514221868	98	13	3.73675328266182e-06	7.94266904019551e-06
Otu00600	status	colonized	-0.696078040599012	0.141804234524143	98	14	3.74988463979491e-06	7.94266904019551e-06
Otu00092	status	colonized	1.31622535565433	0.268864075033479	98	30	3.95717504410359e-06	8.31625067862394e-06
Otu00287	status	colonized	1.14848930582642	0.234933559708862	98	30	4.07031337355471e-06	8.48770773245129e-06
Otu00504	status	colonized	-0.648034592527026	0.133361025773933	98	12	4.58450677296125e-06	9.48640247635827e-06
Otu00188	status	colonized	-1.73659173191916	0.358021971694321	98	13	4.74950862225662e-06	9.7528077815804e-06
Otu00014	status	colonized	2.89625342677398	0.600228851586349	98	29	5.26013866018275e-06	1.07195249968876e-05
Otu00293	status	colonized	-1.01224653783431	0.210460283232953	98	13	5.60092640007132e-06	1.13281894858585e-05
Otu00309	status	colonized	-0.448242229749221	0.0933047790984048	98	12	5.72901287307427e-06	1.15007795735596e-05
Otu00049	status	colonized	1.99970097340043	0.424270651763648	98	28	8.2417003007349e-06	1.64223509696125e-05
Otu00561	status	colonized	-0.437025000038981	0.0934245576402712	98	12	9.48840271394525e-06	1.87675024268476e-05
Otu00179	status	colonized	1.44258046660616	0.308976190740773	98	26	9.8305733296841e-06	1.93023666108396e-05
Otu00560	status	colonized	-0.432432432432431	0.0928994473190552	98	11	1.03935028079964e-05	2.02597989518191e-05
Otu00178	status	colonized	1.51796998926267	0.328647729878404	98	25	1.19813381936432e-05	2.31869062884175e-05
Otu00187	status	colonized	1.51682802954168	0.329251082714362	98	24	1.25576030368841e-05	2.41285372637273e-05
Otu00521	status	colonized	-0.468160218780739	0.101829496003652	98	12	1.3031030695627e-05	2.48606188448486e-05
Otu00355	status	colonized	-0.962767626885284	0.209771023764667	98	13	1.34405950250595e-05	2.54614088854999e-05
Otu00010	status	colonized	2.36935084012355	0.516712910313293	98	31	1.36630248457648e-05	2.57017740105646e-05
Otu00005	status	colonized	2.28397170053687	0.499270623702928	98	26	1.42547873470018e-05	2.66287346968298e-05
