Well	WellID	sampleID	sampletype	DNA_Plate	concentration_mM	dilution	dilution_material	injection	Column	DataFileOrigin
A02	P3-A02	d13_1904_2	unknown	HF10.PlateC	NA	0.1	PBS	0.02	2	HPLC_HF10_plateC_samplekey.txt
A03	P3-A03	d13_1904_3	unknown	HF10.PlateC	NA	0.1	PBS	0.02	3	HPLC_HF10_plateC_samplekey.txt
A04	P3-A04	cecal_d35_449	unknown	HF10.PlateC	NA	0.1	PBS	0.02	4	HPLC_HF10_plateC_samplekey.txt
A05	P3-A05	cecal_d35_5517	unknown	HF10.PlateC	NA	0.1	PBS	0.02	5	HPLC_HF10_plateC_samplekey.txt
A06	P3-A06	cecal_d35_5204	unknown	HF10.PlateC	NA	0.1	PBS	0.02	6	HPLC_HF10_plateC_samplekey.txt
A07	P3-A07	cecal_d35_5510	unknown	HF10.PlateC	NA	0.1	PBS	0.02	7	HPLC_HF10_plateC_samplekey.txt
A08	P3-A08	16_1903_2	unknown	HF10.PlateC	NA	0.1	PBS	0.02	8	HPLC_HF10_plateC_samplekey.txt
A09	P3-A09	HF10_hFMT1	unknown	HF10.PlateC	NA	0.1	PBS	0.02	9	HPLC_HF10_plateC_samplekey.txt
A10	P3-A10	d11_1907_1	unknown	HF10.PlateC	NA	0.1	PBS	0.02	10	HPLC_HF10_plateC_samplekey.txt
A11	P3-A11	d11_1907_2	unknown	HF10.PlateC	NA	0.1	PBS	0.02	11	HPLC_HF10_plateC_samplekey.txt
A12	P3-A12	d11_1907_3	unknown	HF10.PlateC	NA	0.1	PBS	0.02	12	HPLC_HF10_plateC_samplekey.txt
B01	P3-B01	HF10_mFMT	unknown	HF10.PlateC	NA	0.1	PBS	0.02	1	HPLC_HF10_plateC_samplekey.txt
B02	P3-B02	c21_1903_2	unknown	HF10.PlateC	NA	0.25	PBS	0.02	2	HPLC_HF10_plateC_samplekey.txt
B03	P3-B03	healthy_cecal_1913_1	unknown	HF10.PlateC	NA	0.1	PBS	0.02	3	HPLC_HF10_plateC_samplekey.txt
