seqID	sampleID	sampleType
d14_3836	d14_3836	mouse
d14_3844	d14_3844	mouse
d14_4837	d14_4837	mouse
d14_4914	d14_4914	mouse
d14_5925	d14_5925	mouse
d14_5942	d14_5942	mouse
d14_5957	d14_5957	mouse
d14_5964	d14_5964	mouse
d14_5969	d14_5969	mouse
d14_5978	d14_5978	mouse
d16_2904	d16_2904	mouse
d16_2933	d16_2933	mouse
d16_2935	d16_2935	mouse
d16_2949	d16_2949	mouse
d16_2956	d16_2956	mouse
d16_2966	d16_2966	mouse
d16_2988	d16_2988	mouse
d16_3739	d16_3739	mouse
d16_3755	d16_3755	mouse
d16_3765	d16_3765	mouse
d16_3776	d16_3776	mouse
d16_3797	d16_3797	mouse
d16_3827	d16_3827	mouse
d16_3830	d16_3830	mouse
d16_3836	d16_3836	mouse
d16_3844	d16_3844	mouse
d16_4837	d16_4837	mouse
d16_4914	d16_4914	mouse
d16_5925	d16_5925	mouse
d16_5942	d16_5942	mouse
d16_5957	d16_5957	mouse
d16_5964	d16_5964	mouse
d16_5969	d16_5969	mouse
d16_5978	d16_5978	mouse
d20_2904	d20_2904	mouse
d20_2933	d20_2933	mouse
d20_2935	d20_2935	mouse
d20_2949	d20_2949	mouse
d20_2956	d20_2956	mouse
d20_2966	d20_2966	mouse
d20_2988	d20_2988	mouse
d20_3739	d20_3739	mouse
d20_3755	d20_3755	mouse
d20_3765	d20_3765	mouse
d20_3776	d20_3776	mouse
d20_3797	d20_3797	mouse
d20_3827	d20_3827	mouse
d20_3830	d20_3830	mouse
d20_3836	d20_3836	mouse
d20_3844	d20_3844	mouse
d20_4837	d20_4837	mouse
d20_4914	d20_4914	mouse
d20_5925	d20_5925	mouse
d20_5942	d20_5942	mouse
d20_5957	d20_5957	mouse
d20_5964	d20_5964	mouse
d20_5969	d20_5969	mouse
d20_5978	d20_5978	mouse
d21_2904	d21_2904	mouse
d21_2933	d21_2933	mouse
d21_2935	d21_2935	mouse
d21_2949	d21_2949	mouse
d21_2956	d21_2956	mouse
d21_2966	d21_2966	mouse
d21_2988	d21_2988	mouse
d21_3739	d21_3739	mouse
d21_3755	d21_3755	mouse
d21_3765	d21_3765	mouse
d21_3776	d21_3776	mouse
d21_3797	d21_3797	mouse
