seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType	Bacteroides	Porphyromonadaceae_unclassified	Alistipes	Parabacteroides	Bacteroidales_unclassified	Barnesiella	Bacteroidetes_unclassified	Prevotella	Odoribacter	Alloprevotella	Lactobacillus	Blautia	Lachnospiraceae_unclassified	Turicibacter	Firmicutes_unclassified	Clostridium_XlVa	Ruminococcaceae_unclassified	Peptostreptococcaceae_unclassified	Clostridiales_unclassified	Erysipelotrichaceae_unclassified	Clostridium_sensu_stricto	Enterococcus	Staphylococcus	Faecalicoccus	Hungatella	Clostridium_XVIII	Anaerostipes	Flavonifractor	Faecalibacterium	Oscillibacter	Clostridium_IV	Ruminococcus2	Ruminococcus	Terrisporobacter	Eisenbergiella	Fusicatenibacter	Streptococcus	Bacillus	Roseburia	Listeria	Phascolarctobacterium	Romboutsia	Acetatifactor	Coprobacillus	Intestinibacter	Pseudoflavonifractor	Clostridium_XlVb	Dorea	Butyricicoccus	Veillonella	Dialister	Coprococcus	Lactonifactor	Murimonas	Veillonellaceae_unclassified	Holdemania	Pediococcus	Holdemanella	Megasphaera	Bacillales_unclassified	Acidaminococcus	Anaerofilum	Enterobacteriaceae_unclassified	Burkholderiales_unclassified	Bilophila	Parasutterella	Salmonella	Pseudomonas	Pasteurellaceae_unclassified	Helicobacter	Desulfovibrionaceae_unclassified	Sutterella	Neisseria	Campylobacter	Cronobacter	Acinetobacter	Proteobacteria_unclassified	Rhodobacter	Gammaproteobacteria_unclassified	Bifidobacterium	Collinsella	Enterorhabdus	Coriobacteriaceae_unclassified	Olsenella	Akkermansia	Fusobacterium	Anaeroplasma	Pyramidobacter	Bacteria_unclassified	Streptophyta_unclassified	Bacillariophyta_unclassified	Deinococcus	Methanobrevibacter	other
d13_1200_2	d13_1200_2	1200_2	105.2631579	1200	NA	NA	5/3/2015	6/11/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d21	D2_A	hFMT	Rc	HF1	BL6	SPF-Young	13	13	fecal	1.14e+08	mouse	52.504423574248	0	0	0	0	0	0	0	0	0	8.49326255614537	0	0.666938886620389	0	1.55165373621886	0.646522390091194	0.435551925956173	0.564856403974411	0.442357424799238	0.0272219953722608	2.89914250714577	0	0.0136109976861304	0	0	0	0	0.142915475704369	0	0	0.0952769838029128	0	0	0	0	0	0.0068054988430652	0	0	0	0	0	0	0	0	0	1.565264733905	1.70818020960936	0.0068054988430652	0	0.0136109976861304	0	0	0.313052946780999	0	0.0068054988430652	0	0	0.0272219953722608	0	0	0	8.4864570573023	0	0	0.367496937525521	0	0	0.0272219953722608	0	0	0	0	0	0	0	0	0	0	0.558050905131346	0	0	0	0	18.1502654144549	0.0068054988430652	0	0.0068054988430652	0.068054988430652	0	0	0	0	0.197359466448887
d13_1200_3	d13_1200_3	1200_3	102.4691358	1200	NA	NA	5/3/2015	6/11/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d21	D2_A	hFMT	Rc	HF1	BL6	SPF-Young	13	13	fecal	4.7e+07	mouse	58.0722206425931	0.00568666477111174	0.00568666477111174	0	0	0	0	0	0	0	4.42422519192494	0.0511799829400057	0.26158657947114	0	5.29428490190503	1.17713960762013	0.409439863520045	0.796133067955644	0.324139891953369	0.13079328973557	1.05203298265567	0.0966733011088996	0	0.022746659084447	0	0	0	0.199033266988911	0	0	0.0341199886266705	0	0	0	0	0	0.00568666477111174	0	0	0	0.0113733295422235	0	0	0.00568666477111174	0	0.0568666477111174	1.017912994029	1.17145294284902	0	0	0	0	0	1.54677281774239	0	0.0284333238555587	0	0	0	0	0	0	6.01649132783622	0	0	0.699459766846744	0	0	0	0	0	0	0	0	0	0	0	0	0	0.483366505544498	0	0	0	0	16.3207278930907	0	0	0	0.0284333238555587	0	0	0	0	0.250213249928919
d13_1201_1	d13_1201_1	1201_1	104.519774	1201	NA	NA	4/30/2015	6/11/2015	F	NA	NA	hFMT2	CDI	0	cef	no	11	d21	R2_A	hFMT	Rc	HF1	BL6	SPF-Young	13	13	fecal	8.1e+07	mouse	0.321636023234602	0	0	0	0	0	0	0	0	0	17.2099275118813	0	0.0384043012817436	0	19.2789592434353	0.00960107532043589	0	1.7377946329989	0.336037636215256	0.00480053766021794	0.0288032259613077	3.21636023234602	0	1.4449618357256	0	0	0	0	0	0	0	0	0	0	0	0	0.00960107532043589	0	0	0	0	0	0	0	0	0	0	0.00480053766021794	0	0	0	0	0	0.00960107532043589	0	0	0	0	0	0	0	0	15.7457635255149	0	0	0.0144016129806538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.3197158081705	0	0	0	0.0480053766021794	0	0	0	0	0.220824732370019
d13_1201_2	d13_1201_2	1201_2	99.35897436	1201	NA	NA	4/30/2015	6/11/2015	F	NA	NA	hFMT2	CDI	0	cef	no	11	d21	R2_A	hFMT	Rc	HF1	BL6	SPF-Young	13	13	fecal	3.1e+07	mouse	0.0454287336740488	0	0.0170357751277683	0	0.0056785917092561	0	0	0	0	0	21.1811470755253	0	0	0.0056785917092561	27.1323111868257	0	0.0340715502555366	0.675752413401476	0.153321976149915	0	0.0056785917092561	3.15729699034639	0	1.64679159568427	0	0	0	0	0	0.0283929585462805	0	0.0056785917092561	0	0	0.0113571834185122	0	0.0227143668370244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.4946053378762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.9852356615559	0	0	0	0.20442930153322	0	0	0	0.0056785917092561	0.181714934696188
d13_1201_3	d13_1201_3	1201_3	102.0725389	1201	NA	NA	4/30/2015	6/11/2015	F	NA	NA	hFMT2	CDI	0	cef	no	11	d21	R2_A	hFMT	Rc	HF1	BL6	SPF-Young	13	13	fecal	8.2e+07	mouse	0.0585186423674971	0.00835980605249958	0.00417990302624979	0.00835980605249958	0	0	0	0	0	0	13.7560608593881	0	0	0	25.1588363149975	0	0	1.85169704062866	0.422170205651229	0.0292593211837485	0	2.96773114863735	0	3.13492726968734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.2360809229226	0	0	0.00417990302624979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.067045644541	0	0	0	0.0585186423674971	0.0125397090787494	0	0	0	0.221534860391245
d13_1202_1	d13_1202_1	1202_1	105.785124	1202	NA	NA	5/2/2015	6/11/2015	M	NA	NA	hFMT2	CDI	0	cef	no	11	d21	R2_A	hFMT	Rc	HF1	BL6	SPF-Young	13	13	fecal	8e+06	mouse	64.6673387096774	0	0	0	0	0	0	0	0	0	9.46140552995392	0	0	0	3.79464285714286	0	0.00720046082949309	1.51929723502304	0.0648041474654378	0.115207373271889	0	2.05933179723502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0288018433179724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0599078341014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.09245391705069	0	0	0	0.0360023041474654	0.0144009216589862	0	0	0	0.0792050691244128
d13_1202_2	d13_1202_2	1202_2	97.61904762	1202	NA	NA	5/2/2015	6/11/2015	M	NA	NA	hFMT2	CDI	0	cef	no	11	d21	R2_A	hFMT	Rc	HF1	BL6	SPF-Young	13	13	fecal	2.4e+07	mouse	43.6222960823844	0.00544870048493434	0	0.00544870048493434	0	0	0	0	0	0	21.2335857897891	0	0	0	5.12177845583828	0	0	0.424998637824879	0.185255816487768	0.0544870048493434	0	2.65351713616302	0	0.871792077589495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.4855337002125	0	0	0	0	0	0	0	0	0	0	0	0	0.212499318912439	0	0	0	0	0	0	0	0	11.9381027624911	0	0	0	0.016346101454803	0	0	0	0	0.168909715032967
d13_1202_3	d13_1202_3	1202_3	99.14893617	1202	NA	NA	5/2/2015	6/11/2015	M	NA	NA	hFMT2	CDI	0	cef	no	11	d21	R2_A	hFMT	Rc	HF1	BL6	SPF-Young	13	13	fecal	3.6e+07	mouse	46.9462503433751	0	0	0.00915667063455728	0	0	0	0.0228916765863932	0	0	12.077648566981	0	0	0	8.1448585294387	0	0	1.07590879956048	0.247230107133046	0.0961450416628514	0	2.56386777767604	0	0.407471843237799	0	0	0	0	0	0	0	0	0	0	0	0	0.00915667063455728	0	0	0	0	0	0	0.00457833531727864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6846442633458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.394286237524	0	0	0	0.0686750297591796	0	0	0	0	0.247230107133049
d13_1202_4	d13_1202_4	1202_4	100.4310345	1202	NA	NA	5/2/2015	6/11/2015	M	NA	NA	hFMT2	CDI	0	cef	no	11	d21	R2_A	hFMT	Rc	HF1	BL6	SPF-Young	13	13	fecal	1.48e+08	mouse	36.5236903426254	0.103564339345819	0	0.0129455424182273	0	0	0	0	0	0	18.1928022784155	0	0.0733580737032882	0.0129455424182273	3.85345645982567	0	0	0.923448692500216	0.133770604988349	0.0129455424182273	0	1.57935617502373	0.0129455424182273	1.24277207214982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0345214464486062	0	0	0	0	0	0	0	0	0	0	0	0	22.2922240441874	0	0	0	0	0	0	0	0	0.00863036161215155	0	0	0	0	0	0	0	0.0172607232243031	0	0	0	0	14.6414084750151	0	0	0	0.0776732545093639	0	0	0	0	0.250280486752402
d13_1203_1	d13_1203_1	1203_1	102.7210884	1203	NA	NA	5/3/2015	6/11/2015	F	NA	NA	none	CDI	0	cef	no	11	d21	none	noFMT	Rc	HF1	BL6	SPF-Young	13	13	fecal	4.3e+07	mouse	0	0	0	0	0.0050758844728694	0	0	0.0355311913100858	0.0152276534186082	0	13.5018526978326	0	0.0456829602558246	0	19.120856809299	0	0.0050758844728694	1.88822902390742	0.137048880767474	0	0.0050758844728694	0.0101517689457388	0.0050758844728694	0	0	0	0	0	0	0.0304553068372164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.5616973757677	0	0.0050758844728694	0	0	0	0	0	0	0	0	0.0050758844728694	0	0	0	0	0	0	0	0	0	0	30.3182579564489	0	0.0304553068372164	0.0050758844728694	0.101517689457388	0	0	0	0.0101517689457388	0.157352418658959
d13_1203_2	d13_1203_2	1203_2	101.6949153	1203	NA	NA	5/3/2015	6/11/2015	F	NA	NA	none	CDI	0	cef	no	11	d21	none	noFMT	Rc	HF1	BL6	SPF-Young	13	13	fecal	3.4e+07	mouse	0.036904259805989	0	0	0	0	0	0	0	0	0	14.4348376212569	0	0.0105440742302826	0	15.5946857865879	0	0	1.13348797975538	0.0948966680725432	0	0	0.0474483340362716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105440742302826	0	0	0	0	0	0	0	0	0.0105440742302826	0	0.0632644453816955	0	26.8504850274146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.2783635596795	0	1.15984816533108	0	0.16343315056938	0	0	0	0	0.110712779417966
d13_1203_3	d13_1203_3	1203_3	99.45054945	1203	NA	NA	5/3/2015	6/11/2015	F	NA	NA	none	CDI	0	cef	no	11	d21	none	noFMT	Rc	HF1	BL6	SPF-Young	13	13	fecal	2e+07	mouse	0	0	0	0	0	0	0	0	0	0	15.8365161239516	0	0.0590620939481041	0	16.5610111430484	0	0	2.12623538213175	0.14174902547545	0	0	0.0472496751584833	0.00393747292987361	0	0	0	0	0	0	0	0	0	0	0.0157498917194944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.8067882033311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.7751702957042	0	4.19734614324527	0	0.181123754774186	0.00787494585974721	0	0	0	0.240185848722291
d13_1203_4	d13_1203_4	1203_4	98.92473118	1203	NA	NA	5/3/2015	6/11/2015	F	NA	NA	none	CDI	0	cef	no	11	d21	none	noFMT	Rc	HF1	BL6	SPF-Young	13	13	fecal	1.1e+07	mouse	0.0215308429325008	0	0	0	0	0	0	0.0699752395306276	0.0053827107331252	0	21.2078802885133	0	0	0	20.7342017439983	0.0107654214662504	0	1.46948003014318	0.139950479061255	0	0	0.0107654214662504	0	0.0053827107331252	0	0	0	0	0	0	0	0.0161481321993756	0	0	0.0161481321993756	0	0.0053827107331252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0215308429325008	0	0.0161481321993756	0	24.9327161158359	0	0	0	0	0	0	0	0	0	0	0.0053827107331252	0	0	0	0	0	0	0	0	0	0	29.664118850253	0	0	0.0107654214662504	1.50715900527506	0.0161481321993756	0	0	0	0.113036925395633
d13_1205_2	d13_1205_2	1205_2	100.8583691	1205	NA	NA	5/3/2015	6/11/2015	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF1	BL6	SPF-Young	13	13	fecal	4.3e+07	mouse	39.0388676445408	14.8279207807774	0	0	0.211175161235089	0.0114148735802751	0	0	0	0	5.228012099766	0.0171223103704126	0.0741966782717881	2.3400490839564	0.119856172592889	0.405228012099766	0.0570743679013755	1.09012042691627	0	2.06609211802979	0	0.0399520575309628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00570743679013755	0	0	0	0	0	0	0	0	9.8795730837281	0	0	0.0342446207408253	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98048056617773	0	0.0570743679013755	0.0114148735802751	0.159808230123851	22.2590034815364	0	0	0	0	0	0	0	0	0.0856115518520681
