mouse	sampleID	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU
187	d23_187	98.24561404	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	23	2	fecal	0
187	d24_187	100.7017544	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	24	3	fecal	0
187	d25_187	98.59649123	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	25	4	cecal	970000
187	d4_187	92.98245614	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	4	-17	fecal	0
187	d7_187	98.24561404	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	7	-14	NA	NA
187	d9_187	96.49122807	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	9	-12	NA	NA
189	d0_189	86.56716418	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	0	-21	NA	NA
189	d1_189	97.01492537	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	1	-20	NA	NA
189	d11_189	92.53731343	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	11	-10	fecal	0
189	d14_189	91.04477612	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	14	-7	NA	NA
189	d15_189	NA	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	15	-6	NA	NA
189	d16_189	NA	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	16	-5	NA	NA
189	d17_189	NA	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	17	-4	NA	NA
189	d18_189	100	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	18	-3	NA	NA
189	d19_189	NA	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	19	-2	NA	NA
189	d21_189	100	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	21	0	fecal	0
189	d22_189	97.01492537	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	22	1	fecal	2000
189	d23_189	102.9850746	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	23	2	fecal	3200000
189	d24_189	92.53731343	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	24	3	fecal	112000
189	d25_189	97.01492537	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	25	4	cecal	2000
189	d4_189	91.04477612	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	4	-17	fecal	0
189	d7_189	89.55223881	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	7	-14	NA	NA
189	d9_189	95.52238806	1104	1004B	1104B	1/3/18	2/12/18	M	jWT	mFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	9	-12	NA	NA
190	d0_190	85.18518519	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	0	-21	NA	NA
190	d1_190	103.7037037	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	1	-20	NA	NA
190	d11_190	101.8518519	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	11	-10	fecal	0
190	d14_190	104.8148148	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	14	-7	NA	NA
190	d15_190	NA	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	15	-6	NA	NA
190	d16_190	NA	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	16	-5	NA	NA
190	d17_190	NA	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	17	-4	NA	NA
190	d18_190	105.5555556	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	18	-3	NA	NA
190	d19_190	NA	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	19	-2	NA	NA
190	d21_190	100	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	21	0	fecal	0
190	d22_190	102.5925926	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	22	1	fecal	0
190	d23_190	100	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	23	2	fecal	0
190	d24_190	105.5555556	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	24	3	fecal	116000
190	d25_190	104.0740741	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	25	4	cecal	370000
190	d4_190	100	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	4	-17	fecal	0
190	d7_190	100	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	7	-14	NA	NA
190	d9_190	101.8518519	1103	1001B	1103B	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	9	-12	NA	NA
195	d0_195	81.96721311	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	0	-14	NA	NA
195	d1_195	83.60655738	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	1	-13	NA	NA
195	d11_195	98.36065574	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	11	-3	fecal	0
195	d14_195	100	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	14	0	fecal	0
195	d15_195	96.72131148	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	15	1	fecal	0
195	d16_195	93.44262295	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	16	2	fecal	0
195	d17_195	100	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	17	3	fecal	0
195	d18_195	100	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	18	4	cecal	0
195	d19_195	NA	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	19	5	NA	NA
