description	category	color
PWY-5030	Amino-Acid-Degradation	#00BBFA
PWY0-461	Amino-Acid-Degradation	#00BBFA
PWY-6328	Amino-Acid-Degradation	#00BBFA
PWY-6318	Amino-Acid-Degradation	#00BBFA
ORNARGDEG-PWY	Amino-Acid-Degradation	#00BBFA
ARGDEG-PWY	Amino-Acid-Degradation	#00BBFA
THREOCAT-PWY	Amino-Acid-Degradation	#00BBFA
PWY-8189	Amino-Acid-Degradation	#00BBFA
PWY-8187	Amino-Acid-Degradation	#00BBFA
P162-PWY	Amino-Acid-Degradation	#00BBFA
PWY-8190	Amino-Acid-Degradation	#00BBFA
P163-PWY	Amino-Acid-Degradation	#00BBFA
PWY-8188	Amino-Acid-Degradation	#00BBFA
PWY-5088	Amino-Acid-Degradation	#00BBFA
PROPFERM-PWY	Amino-Acid-Degradation	#00BBFA
PWY-4041	Amino-Acid-Degradation	#00BBFA
TRNA-CHARGING-PWY	Aminoacyl-tRNAs-Charging	grey50
PWY0-1338	Antibiotic-Resistance	#F14421
PWY-6471	Antibiotic-Resistance	#F14421
PWY-6470	Antibiotic-Resistance	#F14421
PWY-6435	Aromatic-Compound-Biosynthesis	grey50
PWY-7723	Bioluminescence	grey50
PWY-1861	C1-COMPOUNDS	grey50
P185-PWY	C1-COMPOUNDS	grey50
P42-PWY	C1-COMPOUNDS	grey50
P23-PWY	C1-COMPOUNDS	grey50
PWY-5392	C1-COMPOUNDS	grey50
PWY-6215	CHLORINATED-COMPOUNDS-DEG	grey50
P562-PWY	CYCLITOLS-DEG	grey50
PWY-7237	CYCLITOLS-DEG	grey50
PWY0-1241	Carbohydrates-Biosynthesis	#BE53D2
PWY-1269	Carbohydrates-Biosynthesis	#BE53D2
PWY-6749	Carbohydrates-Biosynthesis	#BE53D2
PWY-6138	Carbohydrates-Biosynthesis	#BE53D2
PWY-6143	Carbohydrates-Biosynthesis	#BE53D2
PWY-6953	Carbohydrates-Biosynthesis	#BE53D2
PWY-7688	Carbohydrates-Biosynthesis	#BE53D2
PWY-7312	Carbohydrates-Biosynthesis	#BE53D2
DTDPRHAMSYN-PWY	Carbohydrates-Biosynthesis	#BE53D2
PWY-7315	Carbohydrates-Biosynthesis	#BE53D2
PWY-7316	Carbohydrates-Biosynthesis	#BE53D2
PWY-6478	Carbohydrates-Biosynthesis	#BE53D2
PWY-5659	Carbohydrates-Biosynthesis	#BE53D2
GLUCONEO-PWY	Carbohydrates-Biosynthesis	#BE53D2
PWY66-399	Carbohydrates-Biosynthesis	#BE53D2
PWY-7238	Carbohydrates-Biosynthesis	#BE53D2
PWY-7090	Carbohydrates-Biosynthesis	#BE53D2
PWY-5514	Carbohydrates-Biosynthesis	#BE53D2
UDPNAGSYN-PWY	Carbohydrates-Biosynthesis	#BE53D2
UDPNACETYLGALSYN-PWY	Carbohydrates-Biosynthesis	#BE53D2
CALVIN-PWY	Carbohydrates-Biosynthesis	#BE53D2
OANTIGEN-PWY	Carbohydrates-Biosynthesis	#BE53D2
COLANSYN-PWY	Carbohydrates-Biosynthesis	#BE53D2
PWY-7317	Carbohydrates-Biosynthesis	#BE53D2
PWY-7323	Carbohydrates-Biosynthesis	#BE53D2
PWY-7328	Carbohydrates-Biosynthesis	#BE53D2
PWY-7332	Carbohydrates-Biosynthesis	#BE53D2
ECASYN-PWY	Carbohydrates-Biosynthesis	#BE53D2
PWY-822	Carbohydrates-Biosynthesis	#BE53D2
GLYCOGENSYNTH-PWY	Carbohydrates-Biosynthesis	#BE53D2
PWY-622	Carbohydrates-Biosynthesis	#BE53D2
LIPA-CORESYN-PWY	Carbohydrates-Biosynthesis	#BE53D2
PWY-7031	Carbohydrates-Biosynthesis	#BE53D2
PWY-7434	Carbohydrates-Biosynthesis	#BE53D2
GALACTITOLCAT-PWY	Carbohydrates-Degradation	#EE82EE
PWY-6531	Carbohydrates-Degradation	#EE82EE
GOLPDLCAT-PWY	Carbohydrates-Degradation	#EE82EE
HEXITOLDEGSUPER-PWY	Carbohydrates-Degradation	#EE82EE
PWY-6992	Carbohydrates-Degradation	#EE82EE
PWY-6507	Carbohydrates-Degradation	#EE82EE
PWY-6906	Carbohydrates-Degradation	#EE82EE
DARABCATK12-PWY	Carbohydrates-Degradation	#EE82EE
PWY-6317	Carbohydrates-Degradation	#EE82EE
