description	category
PWY-6994	Amino-Acid-Biosynthesis
PWY0-901	Amino-Acid-Biosynthesis
PWY-6281	Amino-Acid-Biosynthesis
SERSYN-PWY	Amino-Acid-Biosynthesis
PWY-8011	Amino-Acid-Biosynthesis
HOMOSER-THRESYN-PWY	Amino-Acid-Biosynthesis
TRPSYN-PWY	Amino-Acid-Biosynthesis
TYRSYN	Amino-Acid-Biosynthesis
PWY-3461	Amino-Acid-Biosynthesis
PWY-6120	Amino-Acid-Biosynthesis
PWY-6134	Amino-Acid-Biosynthesis
VALSYN-PWY	Amino-Acid-Biosynthesis
PWY-4921	Amino-Acid-Biosynthesis
PWY-6936	Amino-Acid-Biosynthesis
PWY-8140	Amino-Acid-Biosynthesis
PWY490-4	Amino-Acid-Biosynthesis
PWY-6308	Amino-Acid-Biosynthesis
PWY-5505	Amino-Acid-Biosynthesis
GLNSYN-PWY	Amino-Acid-Biosynthesis
PWY-4361	Amino-Acid-Biosynthesis
PWY-7174	Amino-Acid-Biosynthesis
PWY-8132	Amino-Acid-Biosynthesis
PWY-3982	Amino-Acid-Biosynthesis
ARGSYN-PWY	Amino-Acid-Biosynthesis
PWY-I9	Amino-Acid-Biosynthesis
HSERMETANA-PWY	Amino-Acid-Biosynthesis
PWY-7528	Amino-Acid-Biosynthesis
PWY-7270	Amino-Acid-Biosynthesis
PWY-7527	Amino-Acid-Biosynthesis
COMPLETE-ARO-PWY	Amino-Acid-Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY	Amino-Acid-Biosynthesis
PWY0-1061	Amino-Acid-Biosynthesis
PWY0-1325	Amino-Acid-Biosynthesis
ASPASN-PWY	Amino-Acid-Biosynthesis
PWY-5004	Amino-Acid-Biosynthesis
PWY-6293	Amino-Acid-Biosynthesis
PWY-6292	Amino-Acid-Biosynthesis
METSYN-PWY	Amino-Acid-Biosynthesis
PWY-3001	Amino-Acid-Biosynthesis
P4-PWY	Amino-Acid-Biosynthesis
PWY-724	Amino-Acid-Biosynthesis
PWY-5345	Amino-Acid-Biosynthesis
PWY-5347	Amino-Acid-Biosynthesis
PWY-3481	Amino-Acid-Biosynthesis
PWY-6628	Amino-Acid-Biosynthesis
SER-GLYSYN-PWY	Amino-Acid-Biosynthesis
THRESYN-PWY	Amino-Acid-Biosynthesis
PWY-6629	Amino-Acid-Biosynthesis
PWY-6630	Amino-Acid-Biosynthesis
PWY-821	Amino-Acid-Biosynthesis
PWY-6395	Amino-Acid-Biosynthesis
PWY0-781	Amino-Acid-Biosynthesis
PWY-6519	Amino-Acid-Biosynthesis
ARGASEDEG-PWY	Amino-Acid-Biosynthesis // Amino-Acid-Degradation
HOMOCYSDEGR-PWY	Amino-Acid-Biosynthesis // Amino-Acid-Degradation
ORN-AMINOPENTANOATE-CAT-PWY	Amino-Acid-Biosynthesis // Amino-Acid-Degradation
PWY0-1305	Amino-Acid-Degradation
GLUDEG-I-PWY	Amino-Acid-Degradation
PWY-8346	Amino-Acid-Degradation
BETA-ALA-DEGRADATION-I-PWY	Amino-Acid-Degradation
PWY-1781	Amino-Acid-Degradation
PWY-8120	Amino-Acid-Degradation
PWY-8448	Amino-Acid-Degradation
PWY-6422	Amino-Acid-Degradation
PWY-8453	Amino-Acid-Degradation
PWY0-1535	Amino-Acid-Degradation
PWY0-521	Amino-Acid-Degradation
PWY1QP9-2	Amino-Acid-Degradation
GLYCLEAV-PWY	Amino-Acid-Degradation
PWY0-1608	Amino-Acid-Degradation
ALADEG-PWY	Amino-Acid-Degradation
ALACAT2-PWY	Amino-Acid-Degradation
ALANINE-DEG3-PWY	Amino-Acid-Degradation
PWY1-2	Amino-Acid-Degradation
AST-PWY	Amino-Acid-Degradation
PWY0-823	Amino-Acid-Degradation
ARGDEG-III-PWY	Amino-Acid-Degradation
PWY-5742	Amino-Acid-Degradation
ARG-PRO-PWY	Amino-Acid-Degradation
ARG-GLU-PWY	Amino-Acid-Degradation
ARGDEG-IV-PWY	Amino-Acid-Degradation
ARGDEG-V-PWY	Amino-Acid-Degradation
PWY-5024	Amino-Acid-Degradation
PWY-7523	Amino-Acid-Degradation
ASPARAGINE-DEG1-PWY	Amino-Acid-Degradation
PWY-4002	Amino-Acid-Degradation
ASPARTATE-DEG1-PWY	Amino-Acid-Degradation
PWY-8291	Amino-Acid-Degradation
PWY-8294	Amino-Acid-Degradation
CITRULLINE-DEG-PWY	Amino-Acid-Degradation
CYSTEINE-DEG-PWY	Amino-Acid-Degradation
LCYSDEG-PWY	Amino-Acid-Degradation
PWY-8452	Amino-Acid-Degradation
PWY-6334	Amino-Acid-Degradation
PWY-8110	Amino-Acid-Degradation
GLUTAMATE-DEG1-PWY	Amino-Acid-Degradation
GLUTDEG-PWY	Amino-Acid-Degradation
PWY-5087	Amino-Acid-Degradation
PWY-5766	Amino-Acid-Degradation
GLUTAMINDEG-PWY	Amino-Acid-Degradation
GLUTAMINEFUM-PWY	Amino-Acid-Degradation
HISDEG-PWY	Amino-Acid-Degradation
PWY-5028	Amino-Acid-Degradation
PWY-5030	Amino-Acid-Degradation
HISTDEG-PWY	Amino-Acid-Degradation
PWY-5031	Amino-Acid-Degradation
HISHP-PWY	Amino-Acid-Degradation
ILEUDEG-PWY	Amino-Acid-Degradation
PWY-5078	Amino-Acid-Degradation
LEU-DEG2-PWY	Amino-Acid-Degradation
PWY-5075	Amino-Acid-Degradation
PWY-5076	Amino-Acid-Degradation
PWY0-461	Amino-Acid-Degradation
PWY66-425	Amino-Acid-Degradation
